siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
85,大城,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 11:00",4.7
85,大城,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 11:00",1.8
85,大城,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 11:00",2.8
85,大城,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 11:00",2.14
85,大城,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 11:00",0.02
85,大城,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 11:00",3.3
85,大城,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 11:00",307
85,大城,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 11:00",2.12
85,大城,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 11:00",20
85,大城,彰化縣,38,相對濕度,RH,%,"2024-09-02 11:00",84
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 12:00",0.23
35,二林,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 12:00",1.9
35,二林,彰化縣,38,相對濕度,RH,%,"2024-09-02 12:00",66
33,彰化,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 12:00",0.4
85,大城,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 12:00",1.5
85,大城,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 12:00",3
85,大城,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 12:00",33
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 12:00",22
35,二林,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 12:00",2.3
35,二林,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 12:00",0
35,二林,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 12:00",2
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 12:00",2.3
35,二林,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 12:00",0.7
35,二林,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 12:00",3.1
85,大城,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 12:00",336
33,彰化,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 12:00",1.1
33,彰化,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 12:00",6.3
33,彰化,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 12:00",2.08
33,彰化,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 12:00",0.01
33,彰化,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 12:00",2.3
33,彰化,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 12:00",347
33,彰化,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 12:00",33.2
33,彰化,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 12:00",0
33,彰化,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 12:00",2.06
33,彰化,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 12:00",23
33,彰化,彰化縣,38,相對濕度,RH,%,"2024-09-02 12:00",64
35,二林,彰化縣,3,臭氧,O3,ppb,"2024-09-02 12:00",61.7
35,二林,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 12:00",35
85,大城,彰化縣,3,臭氧,O3,ppb,"2024-09-02 12:00",57.7
85,大城,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 12:00",0.13
85,大城,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 12:00",0.5
85,大城,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 12:00",1.7
85,大城,彰化縣,38,相對濕度,RH,%,"2024-09-02 12:00",84
34,線西,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 12:00",0
34,線西,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 12:00",33.3
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 12:00",337
34,線西,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 12:00",3.8
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 12:00",0.01
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 12:00",1.94
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 12:00",3.5
34,線西,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 12:00",0.8
34,線西,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 12:00",4.3
34,線西,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 12:00",27
34,線西,彰化縣,3,臭氧,O3,ppb,"2024-09-02 12:00",60.1
34,線西,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 12:00",0.21
34,線西,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 12:00",1.9
33,彰化,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 12:00",334
33,彰化,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 12:00",1.7
85,大城,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 12:00",2.02
33,彰化,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 12:00",7.4
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 12:00",1.6
34,線西,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 12:00",337
34,線西,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 12:00",3
34,線西,彰化縣,38,相對濕度,RH,%,"2024-09-02 12:00",73
34,線西,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 12:00",16
35,二林,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 12:00",2
35,二林,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 12:00",0
33,彰化,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 12:00",39
85,大城,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 12:00",1.4
85,大城,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 12:00",0.01
85,大城,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 12:00",3.8
85,大城,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 12:00",39
85,大城,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 12:00",32.1
35,二林,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 12:00",311
85,大城,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 12:00",0
85,大城,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 12:00",2.02
85,大城,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 12:00",21
33,彰化,彰化縣,3,臭氧,O3,ppb,"2024-09-02 12:00",74.5
34,線西,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 12:00",1.93
33,彰化,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 12:00",2.2
35,二林,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 12:00",313
35,二林,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 12:00",34.3
34,線西,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 13:00",0.21
33,彰化,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 13:00",0.3
33,彰化,彰化縣,3,臭氧,O3,ppb,"2024-09-02 13:00",66.8
33,彰化,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 13:00",x
85,大城,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 13:00",15
85,大城,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 13:00",0.7
85,大城,彰化縣,38,相對濕度,RH,%,"2024-09-02 13:00",85
85,大城,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 13:00",11
85,大城,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 13:00",1.95
85,大城,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 13:00",0
85,大城,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 13:00",2.5
85,大城,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 13:00",25
85,大城,彰化縣,3,臭氧,O3,ppb,"2024-09-02 13:00",51.3
85,大城,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 13:00",0.09
