siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
35,二林,彰化縣,6,一氧化氮,NO,ppb,"2024-10-01 00:00",0.8
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2024-10-01 00:00",6.1
35,二林,彰化縣,8,總碳氫化物,THC,ppm,"2024-10-01 00:00",2.95
35,二林,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-10-01 00:00",0.05
35,二林,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-10-01 00:00",0.7
35,二林,彰化縣,11,風向,WIND_DIREC,degrees,"2024-10-01 00:00",112
35,二林,彰化縣,14,溫度,AMB_TEMP,℃,"2024-10-01 00:00",28.6
35,二林,彰化縣,23,雨量,RAINFALL,mm,"2024-10-01 00:00",0
35,二林,彰化縣,31,甲烷,CH4,ppm,"2024-10-01 00:00",2.9
35,二林,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-10-01 00:00",18
35,二林,彰化縣,38,相對濕度,RH,%,"2024-10-01 00:00",100
34,線西,彰化縣,3,臭氧,O3,ppb,"2024-10-01 00:00",31.6
34,線西,彰化縣,5,氮氧化物,NOx,ppb,"2024-10-01 00:00",12.2
33,彰化,彰化縣,1,二氧化硫,SO2,ppb,"2024-10-01 00:00",3.8
34,線西,彰化縣,6,一氧化氮,NO,ppb,"2024-10-01 00:00",0.3
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2024-10-01 00:00",11.8
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2024-10-01 00:00",2.5
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-10-01 00:00",0.2
34,線西,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-10-01 00:00",2.2
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2024-10-01 00:00",174
34,線西,彰化縣,14,溫度,AMB_TEMP,℃,"2024-10-01 00:00",29.5
34,線西,彰化縣,23,雨量,RAINFALL,mm,"2024-10-01 00:00",0
34,線西,彰化縣,31,甲烷,CH4,ppm,"2024-10-01 00:00",2.31
34,線西,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-10-01 00:00",83
33,彰化,彰化縣,31,甲烷,CH4,ppm,"2024-10-01 00:00",2.2
33,彰化,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-10-01 00:00",29
33,彰化,彰化縣,38,相對濕度,RH,%,"2024-10-01 00:00",83
33,彰化,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-10-01 00:00",1
35,二林,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-10-01 00:00",0.6
33,彰化,彰化縣,144,小時風向值,WD_HR,degrees,"2024-10-01 00:00",185
34,線西,彰化縣,1,二氧化硫,SO2,ppb,"2024-10-01 00:00",1.8
34,線西,彰化縣,2,一氧化碳,CO,ppm,"2024-10-01 00:00",0.32
85,大城,彰化縣,6,一氧化氮,NO,ppb,"2024-10-01 00:00",0.9
85,大城,彰化縣,5,氮氧化物,NOx,ppb,"2024-10-01 00:00",4.2
85,大城,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-10-01 00:00",32
85,大城,彰化縣,3,臭氧,O3,ppb,"2024-10-01 00:00",16.7
34,線西,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-10-01 00:00",30
85,大城,彰化縣,2,一氧化碳,CO,ppm,"2024-10-01 00:00",0.1
85,大城,彰化縣,1,二氧化硫,SO2,ppb,"2024-10-01 00:00",0.7
35,二林,彰化縣,144,小時風向值,WD_HR,degrees,"2024-10-01 00:00",166
33,彰化,彰化縣,2,一氧化碳,CO,ppm,"2024-10-01 00:00",0.27
33,彰化,彰化縣,3,臭氧,O3,ppb,"2024-10-01 00:00",37.1
33,彰化,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-10-01 00:00",53
33,彰化,彰化縣,5,氮氧化物,NOx,ppb,"2024-10-01 00:00",11.9
33,彰化,彰化縣,6,一氧化氮,NO,ppb,"2024-10-01 00:00",2.7
33,彰化,彰化縣,7,二氧化氮,NO2,ppb,"2024-10-01 00:00",9.2
33,彰化,彰化縣,8,總碳氫化物,THC,ppm,"2024-10-01 00:00",2.29
33,彰化,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-10-01 00:00",0.09
33,彰化,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-10-01 00:00",0.8
33,彰化,彰化縣,11,風向,WIND_DIREC,degrees,"2024-10-01 00:00",171
33,彰化,彰化縣,14,溫度,AMB_TEMP,℃,"2024-10-01 00:00",29.8
33,彰化,彰化縣,23,雨量,RAINFALL,mm,"2024-10-01 00:00",0
85,大城,彰化縣,8,總碳氫化物,THC,ppm,"2024-10-01 00:00",2.15
85,大城,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-10-01 00:00",0.02
85,大城,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-10-01 00:00",0.3
85,大城,彰化縣,11,風向,WIND_DIREC,degrees,"2024-10-01 00:00",113
