siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
33,彰化,彰化縣,2,一氧化碳,CO,ppm,"2025-02-01 00:00",0.34
33,彰化,彰化縣,3,臭氧,O3,ppb,"2025-02-01 00:00",15
33,彰化,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-02-01 00:00",24
33,彰化,彰化縣,5,氮氧化物,NOx,ppb,"2025-02-01 00:00",10
33,彰化,彰化縣,6,一氧化氮,NO,ppb,"2025-02-01 00:00",0.7
33,彰化,彰化縣,7,二氧化氮,NO2,ppb,"2025-02-01 00:00",9
33,彰化,彰化縣,8,總碳氫化物,THC,ppm,"2025-02-01 00:00",2.25
33,彰化,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2025-02-01 00:00",0.07
33,彰化,彰化縣,10,風速,WIND_SPEED,m/sec,"2025-02-01 00:00",0.3
33,彰化,彰化縣,11,風向,WIND_DIREC,degrees,"2025-02-01 00:00",38
33,彰化,彰化縣,14,溫度,AMB_TEMP,℃,"2025-02-01 00:00",17.2
33,彰化,彰化縣,23,雨量,RAINFALL,mm,"2025-02-01 00:00",1.5
33,彰化,彰化縣,31,甲烷,CH4,ppm,"2025-02-01 00:00",2.18
33,彰化,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-02-01 00:00",26
33,彰化,彰化縣,38,相對濕度,RH,%,"2025-02-01 00:00",97
33,彰化,彰化縣,143,小時風速值,WS_HR,m/sec,"2025-02-01 00:00",0.1
33,彰化,彰化縣,144,小時風向值,WD_HR,degrees,"2025-02-01 00:00",347
34,線西,彰化縣,1,二氧化硫,SO2,ppb,"2025-02-01 00:00",0.8
34,線西,彰化縣,2,一氧化碳,CO,ppm,"2025-02-01 00:00",0.27
34,線西,彰化縣,3,臭氧,O3,ppb,"2025-02-01 00:00",21
34,線西,彰化縣,4,懸浮微粒,PM10,μg/m3,"2025-02-01 00:00",39
34,線西,彰化縣,5,氮氧化物,NOx,ppb,"2025-02-01 00:00",10.6
34,線西,彰化縣,6,一氧化氮,NO,ppb,"2025-02-01 00:00",1
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2025-02-01 00:00",9
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2025-02-01 00:00",2.06
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2025-02-01 00:00",0.05
34,線西,彰化縣,10,風速,WIND_SPEED,m/sec,"2025-02-01 00:00",0.6
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2025-02-01 00:00",108
34,線西,彰化縣,14,溫度,AMB_TEMP,℃,"2025-02-01 00:00",16.8
34,線西,彰化縣,23,雨量,RAINFALL,mm,"2025-02-01 00:00",0.5
34,線西,彰化縣,31,甲烷,CH4,ppm,"2025-02-01 00:00",2.02
34,線西,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2025-02-01 00:00",22
34,線西,彰化縣,38,相對濕度,RH,%,"2025-02-01 00:00",100
34,線西,彰化縣,143,小時風速值,WS_HR,m/sec,"2025-02-01 00:00",0.6
34,線西,彰化縣,144,小時風向值,WD_HR,degrees,"2025-02-01 00:00",138
