"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1000.0","1005.5","27.2","26.5","96","0.6","100","1.5","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","999.5","1005.0","27.7","26.6","94","1.5","120","2.6","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","999.3","1004.8","27.0","26.5","97","0.1","0","1.8","130","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","999.3","1004.8","27.0","26.5","97","1.0","110","1.6","100","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","999.7","1005.2","27.2","26.7","97","0.1","0","1.2","140","0.0","0.0","--","0.00","--","0","--","29.4","30.5","30.7","31.6","31.8","31.4","31.1"
"06","999.8","1005.3","27.2","26.7","97","0.7","30","1.6","40","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1000.1","1005.6","28.2","27.3","95","0.3","350","1.5","40","0.0","0.0","0.4","0.29","--","0","--","--","--","--","--","--","--","--"
"08","1000.7","1006.1","29.5","27.3","88","1.2","20","3.3","30","0.0","0.0","1.0","1.00","60.0","1","1.0","--","--","--","--","--","--","--"
"09","1000.7","1006.1","30.5","26.9","81","2.6","20","5.2","10","0.0","0.0","1.0","1.88","60.0","4","1.0","31.2","30.4","30.6","31.3","31.6","31.4","31.1"
"10","1000.7","1006.1","32.0","25.9","70","2.7","20","4.8","20","0.0","0.0","1.0","2.62","--","7","--","--","--","--","--","--","--","--"
"11","1000.4","1005.8","33.1","25.9","66","2.3","20","5.7","40","0.0","0.0","1.0","3.17","20.0","10","3.0","--","--","--","--","--","--","--"
"12","999.7","1005.1","33.1","26.2","67","3.0","340","6.3","360","0.0","0.0","0.8","2.96","--","10","--","--","--","--","--","--","--","--"
"13","999.2","1004.6","32.3","27.1","74","2.6","330","6.0","330","0.0","0.0","0.5","2.03","--","6","--","--","--","--","--","--","--","--"
"14","998.6","1004.0","31.7","27.0","76","3.5","340","7.4","310","0.0","0.0","0.3","1.74","40.0","5","8.0","31.9","32.3","32.8","32.0","31.6","31.4","31.1"
"15","998.8","1004.2","29.9","28.1","90","2.6","300","8.4","340","T","0.2","0.0","0.17","--","1","--","--","--","--","--","--","--","--"
"16","999.7","1005.2","28.2","27.9","98","3.4","300","6.5","320","6.0","1.0","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"17","1000.2","1005.7","28.1","27.8","98","1.4","260","6.4","280","0.5","0.4","0.0","0.06","15.0","0","10.0","--","--","--","--","--","--","--"
"18","1000.7","1006.2","25.9","25.7","99","1.3","210","6.0","170","0.5","0.4","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"19","1001.0","1006.5","26.3","26.1","99","1.0","360","4.5","210","0.5","0.7","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1001.4","1006.9","26.5","26.3","99","0.3","350","1.7","360","T","0.4","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1002.0","1007.5","26.5","26.3","99","1.4","180","3.3","200","0.0","0.0","--","0.00","--","0","--","29.5","30.9","31.2","32.0","32.0","31.4","31.1"
"22","1002.0","1007.5","26.4","26.2","99","0.4","210","3.5","170","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1001.9","1007.4","26.5","26.2","98","1.6","140","4.0","120","0.5","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1001.1","1006.6","26.5","26.3","99","0.8","160","1.9","110","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
