"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","紫外線指數","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","UVI","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.2","1011.8","23.1","21.6","91","1.1","180","2.6","170","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"02","1006.2","1011.8","22.2","21.0","93","1.4","130","2.2","170","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"03","1006.5","1012.1","21.5","20.8","96","0.7","140","1.6","130","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"04","1006.9","1012.5","21.3","20.6","96","0.5","190","1.6","140","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"05","1007.1","1012.7","22.1","20.4","90","1.8","140","3.0","140","0.0","0.0","--","0.00","0","25.3","25.5","25.6","26.3","26.7","27.0","27.0"
"06","1007.8","1013.4","21.6","20.4","93","0.3","100","2.4","140","0.0","0.0","0.2","0.08","0","--","--","--","--","--","--","--"
"07","1008.4","1014.0","24.4","21.3","83","1.0","130","1.8","130","0.0","0.0","1.0","0.63","0","--","--","--","--","--","--","--"
"08","1008.6","1014.1","26.3","20.4","70","1.7","180","3.9","210","0.0","0.0","1.0","1.46","2","--","--","--","--","--","--","--"
"09","1008.5","1014.0","26.9","21.2","71","1.8","180","3.9","200","0.0","0.0","1.0","2.30","4","27.7","25.4","25.4","26.1","26.5","26.9","27.0"
"10","1008.5","1014.0","28.5","21.8","67","0.7","160","3.9","200","0.0","0.0","1.0","3.00","7","--","--","--","--","--","--","--"
"11","1008.3","1013.8","29.5","20.7","59","1.4","200","3.5","300","0.0","0.0","1.0","3.53","9","--","--","--","--","--","--","--"
"12","1007.7","1013.2","30.5","20.2","54","1.7","300","4.3","280","0.0","0.0","1.0","3.74","11","--","--","--","--","--","--","--"
"13","1007.5","1013.0","30.3","21.7","60","2.9","280","7.1","280","0.0","0.0","0.8","3.14","9","--","--","--","--","--","--","--"
"14","1007.0","1012.5","30.0","21.1","59","3.2","320","6.9","330","0.0","0.0","0.5","2.26","6","30.2","27.3","27.7","26.7","26.6","26.9","27.0"
"15","1006.7","1012.2","30.5","19.3","51","2.5","320","5.6","320","0.0","0.0","1.0","2.76","6","--","--","--","--","--","--","--"
"16","1006.7","1012.2","30.1","16.5","44","3.2","320","5.8","310","0.0","0.0","1.0","2.18","3","--","--","--","--","--","--","--"
"17","1007.0","1012.5","29.5","16.4","45","2.2","310","5.1","270","0.0","0.0","1.0","1.31","1","--","--","--","--","--","--","--"
"18","1007.3","1012.8","27.9","17.8","54","2.7","320","5.0","300","0.0","0.0","0.9","0.54","0","--","--","--","--","--","--","--"
"19","1008.1","1013.6","26.1","18.8","64","1.8","330","4.1","330","0.0","0.0","0.0","0.03","0","--","--","--","--","--","--","--"
"20","1008.5","1014.1","24.7","19.3","72","1.0","30","2.2","330","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"21","1008.9","1014.5","23.6","19.6","78","0.4","80","1.5","60","0.0","0.0","--","0.00","0","27.3","27.5","27.6","27.7","27.4","26.9","27.0"
"22","1009.0","1014.6","23.0","18.1","74","0.2","0","1.9","120","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"23","1008.9","1014.5","22.0","18.6","81","1.0","110","1.6","130","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"24","1008.7","1014.3","21.5","18.1","81","0.6","180","1.6","90","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
