"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.4","1011.9","25.8","25.5","98","0.2","0","2.0","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.1","1011.6","25.9","25.6","98","0.8","220","2.2","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1005.6","1011.1","26.4","24.8","91","2.1","130","3.5","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1005.2","1010.7","25.8","24.9","95","0.5","120","3.3","110","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1005.3","1010.8","25.7","25.0","96","1.0","130","3.2","100","0.0","0.0","--","0.00","--","0","--","28.2","29.7","29.9","30.9","31.2","31.0","31.0"
"06","1005.8","1011.3","25.4","25.2","99","0.6","240","3.1","120","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1006.5","1012.0","26.3","25.8","97","0.1","0","1.2","200","0.0","0.0","0.0","0.23","--","0","--","--","--","--","--","--","--","--"
"08","1007.3","1012.8","27.5","26.6","95","0.4","80","0.9","80","0.0","0.0","0.0","0.56","60.0","1","9.0","--","--","--","--","--","--","--"
"09","1007.6","1013.1","28.7","25.1","81","0.2","0","1.3","340","0.0","0.0","0.2","1.34","60.0","3","7.0","29.9","29.5","29.7","30.6","30.9","31.0","31.0"
"10","1007.5","1013.0","30.3","24.5","71","0.3","10","2.1","260","0.0","0.0","0.6","2.18","--","6","--","--","--","--","--","--","--","--"
"11","1007.2","1012.6","31.2","24.6","68","1.0","250","2.7","330","0.0","0.0","1.0","3.07","60.0","10","8.0","--","--","--","--","--","--","--"
"12","1006.4","1011.8","31.5","25.6","71","1.1","220","3.6","270","0.0","0.0","0.7","2.63","--","9","--","--","--","--","--","--","--","--"
"13","1005.8","1011.2","31.0","27.4","81","2.6","320","5.4","320","0.0","0.0","0.4","2.31","--","7","--","--","--","--","--","--","--","--"
"14","1005.4","1010.8","31.2","26.7","77","2.7","320","5.8","340","0.0","0.0","0.1","1.59","60.0","5","8.0","31.4","31.3","31.7","31.1","30.9","30.9","31.0"
"15","1004.9","1010.3","31.2","25.6","72","2.2","300","5.4","300","0.0","0.0","0.4","1.94","--","5","--","--","--","--","--","--","--","--"
"16","1004.9","1010.3","30.5","25.8","76","2.4","310","4.6","290","0.0","0.0","0.0","1.06","--","2","--","--","--","--","--","--","--","--"
"17","1005.3","1010.8","29.7","25.9","80","2.1","320","4.3","300","0.0","0.0","0.0","0.53","60.0","1","6.0","--","--","--","--","--","--","--"
"18","1005.5","1011.0","28.9","26.5","87","1.2","310","3.9","330","0.0","0.0","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"19","1005.9","1011.4","28.3","27.2","94","1.2","340","2.5","310","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1006.0","1011.5","28.1","27.2","95","0.4","50","2.0","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1006.3","1011.8","27.9","27.0","95","0.3","40","1.4","40","0.0","0.0","--","0.00","--","0","--","29.9","31.0","31.2","31.7","31.4","31.0","30.9"
"22","1006.4","1011.9","27.5","26.8","96","0.6","120","1.4","50","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1006.4","1011.9","27.1","26.8","98","0.9","60","1.5","60","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1005.9","1011.4","27.2","26.7","97","0.1","0","1.6","50","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
