"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.5","1012.1","23.6","21.9","90","1.4","320","3.1","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.2","1011.8","23.3","22.1","93","1.3","340","3.2","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.1","1011.7","23.0","22.0","94","1.3","330","2.4","330","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1006.1","1011.7","23.0","22.2","95","0.8","10","2.9","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.3","1011.9","23.8","22.1","90","1.6","360","4.4","360","0.0","0.0","--","0.00","--","0","--","26.8","28.1","28.4","29.8","30.2","30.4","30.5"
"06","1006.8","1012.4","23.6","22.6","94","2.3","340","4.2","330","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1007.2","1012.8","24.0","21.7","87","1.9","360","5.2","10","0.0","0.0","0.0","0.14","--","0","--","--","--","--","--","--","--","--"
"08","1007.6","1013.2","25.5","22.0","81","2.0","360","3.8","360","0.0","0.0","0.4","0.73","50.0","1","1.0","--","--","--","--","--","--","--"
"09","1007.9","1013.4","26.9","22.3","76","1.3","330","3.5","340","0.0","0.0","1.0","1.79","50.0","3","1.0","27.8","27.9","28.2","29.4","29.9","30.4","30.5"
"10","1007.8","1013.3","28.1","21.7","68","1.5","360","4.7","320","0.0","0.0","1.0","2.37","--","5","--","--","--","--","--","--","--","--"
"11","1007.2","1012.7","28.5","21.8","67","2.4","340","5.8","340","0.0","0.0","0.9","2.75","50.0","8","3.0","--","--","--","--","--","--","--"
"12","1006.2","1011.7","29.6","21.0","60","1.5","280","4.6","30","0.0","0.0","1.0","3.17","--","9","--","--","--","--","--","--","--","--"
"13","1005.5","1011.0","30.0","20.9","58","3.1","340","7.2","340","0.0","0.0","1.0","3.17","--","9","--","--","--","--","--","--","--","--"
"14","1005.2","1010.7","29.6","20.2","57","4.2","320","7.7","340","0.0","0.0","1.0","2.80","50.0","7","1.0","31.4","29.9","30.3","29.9","29.9","30.3","30.5"
"15","1005.3","1010.8","29.1","20.6","60","4.4","330","8.6","320","0.0","0.0","1.0","2.24","--","4","--","--","--","--","--","--","--","--"
"16","1005.7","1011.2","27.9","20.5","64","3.7","340","9.0","320","0.0","0.0","1.0","1.46","--","2","--","--","--","--","--","--","--","--"
"17","1006.4","1011.9","26.2","20.1","69","3.3","340","8.4","330","0.0","0.0","0.9","0.58","35.0","0","3.0","--","--","--","--","--","--","--"
"18","1006.9","1012.5","25.0","19.4","71","3.5","350","8.0","340","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"19","1007.3","1012.9","24.4","19.3","73","2.2","10","6.4","330","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1007.9","1013.5","23.7","19.4","77","1.6","350","4.9","10","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1007.9","1013.5","23.2","19.8","81","1.3","360","4.1","20","0.0","0.0","--","0.00","--","0","--","27.1","28.8","29.2","30.2","30.3","30.2","30.5"
"22","1007.7","1013.3","22.9","19.9","83","0.6","360","2.5","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1007.6","1013.2","22.4","20.7","90","0.1","0","1.5","10","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.2","1012.8","22.5","20.2","87","1.1","330","2.0","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
