"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1002.2","1007.7","27.9","26.1","90","2.3","160","4.7","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1002.3","1007.8","28.1","25.7","87","1.6","180","4.1","150","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1002.3","1007.8","27.1","26.2","95","1.0","50","3.3","180","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1002.2","1007.7","26.7","26.0","96","0.3","40","2.1","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1002.6","1008.1","26.3","25.8","97","0.8","110","1.5","80","0.0","0.0","--","0.00","--","0","--","28.9","30.0","30.2","31.2","31.4","31.2","31.2"
"06","1003.2","1008.7","26.1","25.8","98","0.1","0","1.5","80","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1003.7","1009.2","27.7","27.2","97","0.4","150","1.9","140","0.0","0.0","0.6","0.32","--","0","--","--","--","--","--","--","--","--"
"08","1004.1","1009.6","29.4","25.8","81","0.2","0","1.3","130","0.0","0.0","1.0","1.02","40.0","1","1.0","--","--","--","--","--","--","--"
"09","1004.3","1009.7","30.7","25.8","75","1.4","270","3.0","280","0.0","0.0","1.0","1.90","50.0","4","1.0","30.1","29.9","30.1","30.9","31.2","31.2","31.2"
"10","1004.6","1010.0","30.6","25.2","73","1.3","230","3.4","260","0.0","0.0","0.8","2.16","--","6","--","--","--","--","--","--","--","--"
"11","1004.2","1009.6","32.4","25.8","68","1.6","210","3.5","230","0.0","0.0","0.7","2.53","50.0","8","3.0","--","--","--","--","--","--","--"
"12","1003.5","1008.9","33.0","24.5","61","1.7","240","5.2","190","0.0","0.0","0.9","3.27","--","11","--","--","--","--","--","--","--","--"
"13","1002.6","1008.0","34.0","25.4","61","1.9","210","4.9","210","0.0","0.0","0.9","3.29","--","11","--","--","--","--","--","--","--","--"
"14","1001.7","1007.1","32.6","26.9","72","2.7","320","6.1","320","0.0","0.0","0.8","2.78","20.0","8","5.0","33.7","31.9","32.5","31.5","31.2","31.2","31.2"
"15","1001.5","1006.9","32.2","27.0","74","3.4","290","6.3","270","0.0","0.0","0.7","1.99","--","5","--","--","--","--","--","--","--","--"
"16","1002.1","1007.5","31.1","25.9","74","2.5","280","6.0","300","0.0","0.0","0.5","1.32","--","2","--","--","--","--","--","--","--","--"
"17","1002.2","1007.6","29.4","26.4","84","1.9","170","5.7","170","0.0","0.0","0.0","0.17","30.0","0","6.0","--","--","--","--","--","--","--"
"18","1002.6","1008.1","29.1","25.5","81","1.1","210","4.0","170","0.0","0.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"19","1003.0","1008.5","29.1","26.9","88","0.9","100","1.8","210","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1003.2","1008.7","28.6","25.4","83","1.5","130","3.1","140","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1003.5","1009.0","28.5","25.9","86","0.3","60","2.1","120","0.0","0.0","--","0.00","--","0","--","30.3","31.5","31.8","32.2","31.9","31.2","31.2"
"22","1003.9","1009.4","28.1","25.9","88","0.8","130","2.0","110","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1004.2","1009.7","28.1","26.3","90","0.1","0","1.8","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1004.2","1009.7","27.9","26.7","93","0.1","0","0.7","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
