"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","988.9","994.3","28.4","27.0","92","2.4","300","5.0","300","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","988.3","993.7","27.3","27.1","99","1.3","20","4.7","320","3.5","0.8","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","987.2","992.6","27.1","26.9","99","1.2","70","2.9","40","1.5","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","986.3","991.7","27.1","26.9","99","0.1","0","2.7","60","1.5","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","985.9","991.3","26.8","26.6","99","0.4","40","1.7","50","1.0","0.6","--","0.00","--","0","--","30.2","31.2","31.6","32.6","32.7","32.2","30.9"
"06","985.9","991.3","26.6","26.4","99","0.9","40","3.0","50","1.0","0.6","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"07","985.4","990.8","26.8","26.6","99","0.5","60","2.1","50","T","0.4","0.0","0.17","--","0","--","--","--","--","--","--","--","--"
"08","984.1","989.5","26.5","26.3","99","1.1","210","2.8","230","2.5","1.0","0.0","0.12","10.0","0","10.0","--","--","--","--","--","--","--"
"09","983.8","989.2","27.0","26.8","99","0.3","90","6.8","120","1.0","0.5","0.0","0.20","12.0","1","10.0","29.8","30.7","31.0","32.1","32.4","32.2","30.9"
"10","982.9","988.3","26.7","26.5","99","1.3","120","2.8","200","0.5","0.7","0.0","0.20","--","1","--","--","--","--","--","--","--","--"
"11","981.7","987.1","28.2","28.0","99","5.8","350","11.7","330","2.0","0.4","0.0","0.37","5.0","2","10.0","--","--","--","--","--","--","--"
"12","980.7","986.1","27.9","27.7","99","5.4","330","16.1","330","6.5","1.0","0.0","0.22","--","1","--","--","--","--","--","--","--","--"
"13","979.9","985.3","28.1","27.9","99","4.6","340","18.5","10","1.5","0.6","0.0","0.40","--","2","--","--","--","--","--","--","--","--"
"14","978.8","984.1","28.8","28.1","96","5.9","330","15.2","360","0.5","0.1","0.0","0.90","25.0","4","10.0","29.3","30.1","30.6","31.7","32.0","32.1","31.0"
"15","978.6","983.9","28.2","27.9","98","7.5","320","16.8","340","T","0.4","0.0","0.45","--","2","--","--","--","--","--","--","--","--"
"16","977.5","982.8","28.2","27.9","98","7.5","320","18.6","310","1.0","0.5","0.0","0.37","--","1","--","--","--","--","--","--","--","--"
"17","977.2","982.5","27.9","27.6","98","7.7","320","17.4","330","0.5","0.5","0.0","0.19","15.0","1","10.0","--","--","--","--","--","--","--"
"18","976.6","981.9","28.0","27.7","98","8.0","320","18.9","320","0.5","0.5","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"19","976.1","981.4","27.9","27.6","98","7.3","320","17.7","320","4.0","0.9","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","976.3","981.6","28.0","27.7","98","6.7","320","16.6","310","0.5","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","976.6","981.9","27.8","27.6","99","4.6","310","11.7","330","0.5","0.5","--","0.00","--","0","--","28.4","29.5","29.9","31.1","31.6","31.9","31.0"
"22","976.0","981.3","27.7","27.5","99","3.5","310","8.7","330","2.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","975.1","980.4","27.3","27.1","99","3.4","310","9.9","320","1.0","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","973.9","979.2","27.9","27.7","99","5.0","310","9.9","320","1.5","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
