"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","998.0","1003.5","23.5","22.5","94","1.2","20","2.2","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","997.6","1003.1","23.5","23.0","97","0.6","40","2.7","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","997.0","1002.5","23.7","23.2","97","1.8","20","3.8","10","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","997.4","1002.9","23.2","22.5","96","1.0","190","2.8","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","997.5","1003.0","23.1","22.4","96","1.0","150","2.0","140","0.0","0.0","--","0.00","--","0","--","26.1","27.2","27.5","28.7","29.2","29.9","30.7"
"06","998.0","1003.6","22.6","22.3","98","0.2","0","1.5","140","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","998.8","1004.3","23.8","23.0","95","0.2","0","1.1","70","0.0","0.0","0.4","0.23","--","0","--","--","--","--","--","--","--","--"
"08","999.1","1004.6","25.9","24.1","90","0.4","350","2.5","320","0.0","0.0","1.0","0.91","60.0","1","1.0","--","--","--","--","--","--","--"
"09","999.0","1004.5","27.7","23.1","76","1.9","330","3.7","340","0.0","0.0","1.0","1.76","60.0","3","3.0","28.5","27.2","27.4","28.4","29.0","29.8","30.7"
"10","999.3","1004.7","29.3","23.0","69","2.1","330","4.2","320","0.0","0.0","1.0","2.29","--","5","--","--","--","--","--","--","--","--"
"11","998.9","1004.3","29.9","22.1","63","1.4","350","3.8","350","0.0","0.0","1.0","2.34","60.0","7","2.0","--","--","--","--","--","--","--"
"12","998.2","1003.6","31.8","23.1","60","0.5","190","3.4","190","0.0","0.0","0.8","2.56","--","8","--","--","--","--","--","--","--","--"
"13","997.3","1002.7","31.6","23.2","61","1.8","210","3.5","230","0.0","0.0","0.9","2.20","--","7","--","--","--","--","--","--","--","--"
"14","997.0","1002.4","31.6","23.7","63","1.0","220","4.5","210","0.0","0.0","0.5","1.62","50.0","4","5.0","32.8","29.9","30.0","29.2","29.0","29.7","30.7"
"15","997.7","1003.1","30.3","24.9","73","3.0","330","5.1","310","0.0","0.0","0.3","1.18","--","3","--","--","--","--","--","--","--","--"
"16","997.4","1002.8","29.5","25.1","77","2.9","320","5.9","330","0.0","0.0","0.1","0.70","--","1","--","--","--","--","--","--","--","--"
"17","998.0","1003.4","28.8","25.2","81","2.2","320","6.2","340","0.0","0.0","0.2","0.45","30.0","0","3.0","--","--","--","--","--","--","--"
"18","998.7","1004.2","27.3","25.5","90","1.8","330","4.5","320","0.0","0.0","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"19","999.6","1005.1","26.9","26.0","95","1.1","320","4.1","310","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1000.3","1005.8","26.7","26.0","96","0.9","180","2.6","280","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1000.2","1005.7","26.2","25.9","98","0.8","190","1.9","130","0.0","0.0","--","0.00","--","0","--","28.9","29.5","29.7","29.9","29.7","29.8","30.7"
"22","1000.6","1006.1","25.9","25.6","98","0.4","130","2.9","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1000.9","1006.4","26.0","25.7","98","1.9","190","4.2","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1001.0","1006.5","26.0","25.7","98","2.0","170","3.9","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
