"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1010.0","1015.7","20.5","19.3","93","1.5","360","2.9","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1010.0","1015.7","20.5","20.0","97","0.8","320","2.7","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1009.4","1015.1","20.3","19.3","94","1.4","360","3.0","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1009.3","1015.0","20.4","19.2","93","1.5","350","3.3","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1009.4","1015.1","20.1","19.3","95","1.0","30","3.5","10","0.0","0.0","--","0.00","--","0","--","23.7","25.1","25.4","26.7","27.3","27.9","29.6"
"06","1009.6","1015.3","20.2","19.2","94","1.0","20","3.1","60","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1009.9","1015.6","20.8","20.5","98","0.7","10","2.3","20","0.0","0.0","0.0","0.11","--","0","--","--","--","--","--","--","--","--"
"08","1010.3","1015.9","22.0","19.7","87","2.2","20","4.6","360","0.0","0.0","0.0","0.49","60.0","1","8.0","--","--","--","--","--","--","--"
"09","1010.9","1016.5","22.7","19.7","83","1.8","360","4.7","360","0.0","0.0","0.0","0.71","70.0","2","10.0","24.7","24.9","25.2","26.4","27.1","27.9","29.6"
"10","1010.8","1016.4","24.6","20.5","78","1.8","20","3.8","30","0.0","0.0","0.2","1.30","--","3","--","--","--","--","--","--","--","--"
"11","1010.0","1015.6","25.1","20.2","74","1.3","340","3.3","360","0.0","0.0","0.2","1.74","60.0","5","10.0","--","--","--","--","--","--","--"
"12","1008.9","1014.4","26.8","20.4","68","3.3","340","6.5","350","0.0","0.0","0.8","2.46","--","7","--","--","--","--","--","--","--","--"
"13","1008.3","1013.8","26.9","20.3","67","2.2","360","6.8","340","0.0","0.0","0.2","1.34","--","4","--","--","--","--","--","--","--","--"
"14","1007.6","1013.1","27.3","20.2","65","1.6","30","4.4","30","0.0","0.0","0.1","1.28","60.0","3","10.0","27.3","26.2","26.5","26.7","27.0","27.8","29.6"
"15","1007.4","1012.9","26.6","21.2","72","1.9","340","5.3","330","0.0","0.0","0.0","0.73","--","2","--","--","--","--","--","--","--","--"
"16","1007.7","1013.2","25.6","21.5","78","2.9","320","5.1","320","0.0","0.0","0.0","0.52","--","1","--","--","--","--","--","--","--","--"
"17","1008.2","1013.8","24.3","21.0","82","2.2","330","5.3","320","0.0","0.0","0.2","0.22","40.0","0","10.0","--","--","--","--","--","--","--"
"18","1008.8","1014.4","23.1","21.2","89","1.8","340","4.4","320","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"19","1009.2","1014.8","22.9","21.4","91","1.9","10","3.5","360","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1009.8","1015.4","22.7","21.3","92","2.3","350","4.5","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1010.1","1015.7","22.5","21.5","94","1.2","360","3.9","350","0.0","0.0","--","0.00","--","0","--","24.8","25.9","26.2","27.1","27.3","27.8","29.5"
"22","1010.4","1016.0","21.8","21.3","97","0.3","50","3.3","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1010.3","1015.9","21.5","21.2","98","0.4","70","1.4","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1009.9","1015.5","21.3","21.0","98","0.6","120","1.3","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
