"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1010.3","1016.0","19.8","17.8","88","1.2","10","3.3","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1010.1","1015.8","19.6","17.9","90","0.9","340","2.4","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1010.0","1015.7","19.3","19.1","99","0.3","360","2.0","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1010.1","1015.8","19.4","17.9","91","1.5","20","2.8","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1010.4","1016.1","19.6","18.3","92","1.3","340","2.1","40","0.0","0.0","--","0.00","--","0","--","22.9","24.2","24.5","25.8","26.4","27.2","28.9"
"06","1010.9","1016.6","19.8","18.3","91","1.3","360","2.3","340","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1011.2","1016.9","19.9","18.0","89","1.5","350","2.7","20","0.0","0.0","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"08","1011.7","1017.4","20.5","18.3","87","1.9","340","4.4","360","0.0","0.0","0.6","0.57","60.0","1","2.0","--","--","--","--","--","--","--"
"09","1012.1","1017.7","22.1","18.5","80","2.0","10","5.0","20","0.0","0.0","1.0","1.24","60.0","2","2.0","23.9","24.0","24.3","25.5","26.2","27.2","28.9"
"10","1011.8","1017.4","23.1","18.7","76","1.8","10","4.4","340","0.0","0.0","0.9","1.80","--","4","--","--","--","--","--","--","--","--"
"11","1011.3","1016.9","24.8","19.2","71","2.1","340","4.2","350","0.0","0.0","0.1","1.66","60.0","4","5.0","--","--","--","--","--","--","--"
"12","1010.4","1016.0","25.2","19.1","69","1.5","340","4.9","310","0.0","0.0","0.3","1.91","--","5","--","--","--","--","--","--","--","--"
"13","1009.5","1015.1","25.3","19.2","69","1.9","10","3.9","20","0.0","0.0","0.0","1.36","--","4","--","--","--","--","--","--","--","--"
"14","1009.1","1014.7","25.5","19.4","69","2.3","360","3.9","10","0.0","0.0","0.0","0.79","50.0","2","10.0","26.2","25.4","25.7","25.8","26.1","27.1","28.9"
"15","1009.1","1014.7","25.3","18.8","67","2.5","20","4.7","360","0.0","0.0","0.0","0.71","--","1","--","--","--","--","--","--","--","--"
"16","1009.4","1015.0","24.5","18.2","68","3.0","10","6.1","20","0.0","0.0","0.0","0.35","--","1","--","--","--","--","--","--","--","--"
"17","1009.9","1015.5","23.8","17.8","69","2.6","350","5.1","340","0.0","0.0","0.0","0.13","60.0","0","10.0","--","--","--","--","--","--","--"
"18","1010.2","1015.8","23.0","17.7","72","1.8","340","5.0","360","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"19","1010.8","1016.4","22.3","17.5","74","1.5","340","3.8","350","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1011.3","1017.0","21.3","17.1","77","1.9","330","3.8","320","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1011.9","1017.6","20.5","17.3","82","1.4","330","3.3","340","0.0","0.0","--","0.00","--","0","--","23.5","25.0","25.3","26.2","26.4","27.0","28.9"
"22","1012.2","1017.9","20.8","17.2","80","1.7","10","3.4","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1012.3","1018.0","20.7","16.9","79","2.0","10","4.3","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1012.1","1017.8","20.6","16.8","79","1.5","10","3.2","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
