"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.1","1010.6","27.0","25.0","89","0.8","90","1.8","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1004.8","1010.3","26.7","24.6","88","1.1","80","1.9","100","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1004.9","1010.4","26.5","24.5","89","0.7","130","1.9","90","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1005.1","1010.6","26.3","24.2","88","0.7","110","1.4","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1005.3","1010.8","26.7","24.4","87","1.3","90","2.9","90","0.0","0.0","--","0.00","--","0","--","29.5","30.5","30.8","31.9","32.0","31.5","30.4"
"06","1005.7","1011.2","27.4","24.3","83","1.2","150","3.0","100","0.0","0.0","0.2","0.07","--","0","--","--","--","--","--","--","--","--"
"07","1005.8","1011.3","29.0","23.2","71","0.6","60","2.3","90","0.0","0.0","1.0","0.58","--","0","--","--","--","--","--","--","--","--"
"08","1006.0","1011.5","30.5","24.2","69","0.8","130","2.6","110","0.0","0.0","1.0","1.34","60.0","2","2.0","--","--","--","--","--","--","--"
"09","1005.7","1011.1","32.1","24.5","64","1.5","360","3.0","360","0.0","0.0","1.0","2.09","60.0","4","2.0","31.1","30.7","30.8","31.4","31.7","31.5","30.4"
"10","1005.5","1010.9","33.1","24.3","60","0.9","70","3.9","320","0.0","0.0","1.0","2.83","--","8","--","--","--","--","--","--","--","--"
"11","1005.4","1010.8","34.5","22.9","51","1.7","280","5.5","320","0.0","0.0","1.0","3.33","60.0","10","4.0","--","--","--","--","--","--","--"
"12","1004.9","1010.2","35.9","24.5","52","2.6","320","4.9","310","0.0","0.0","0.9","3.57","--","11","--","--","--","--","--","--","--","--"
"13","1004.3","1009.7","35.3","25.5","57","3.5","310","6.9","350","0.0","0.0","0.7","2.80","--","9","--","--","--","--","--","--","--","--"
"14","1004.3","1009.7","35.2","25.7","58","3.7","310","7.2","280","0.0","0.0","0.6","2.74","45.0","8","6.0","34.4","33.6","34.0","32.4","31.8","31.5","30.4"
"15","1004.1","1009.5","34.6","24.9","57","4.1","300","7.7","330","0.0","0.0","0.8","2.78","--","7","--","--","--","--","--","--","--","--"
"16","1004.0","1009.4","33.4","24.3","59","3.0","320","7.2","310","0.0","0.0","0.2","1.15","--","3","--","--","--","--","--","--","--","--"
"17","1005.1","1010.6","30.0","25.1","75","2.0","180","6.2","200","T","0.1","0.0","0.32","30.0","1","9.0","--","--","--","--","--","--","--"
"18","1005.2","1010.7","28.4","25.0","82","1.7","190","8.9","180","T","0.1","0.0","0.12","--","0","--","--","--","--","--","--","--","--"
"19","1005.9","1011.4","29.1","24.0","74","3.5","90","7.5","110","0.0","0.0","0.2","0.09","--","0","--","--","--","--","--","--","--","--"
"20","1006.0","1011.5","28.6","22.4","69","1.0","140","7.1","100","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1005.9","1011.4","28.6","22.4","69","0.4","260","4.4","100","T","0.2","--","0.00","--","0","--","31.0","32.3","32.7","33.0","32.5","31.5","30.4"
"22","1006.4","1011.9","28.0","23.4","76","1.6","120","2.3","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1006.8","1012.3","27.6","23.4","78","1.4","120","3.7","90","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1006.7","1012.2","27.6","23.4","78","1.2","90","2.4","80","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
