"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","999.1","1004.6","28.1","24.1","79","1.3","140","3.9","160","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","998.6","1004.1","27.5","24.6","84","1.2","90","2.2","130","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","998.6","1004.1","27.6","24.1","81","1.6","130","2.5","130","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","998.7","1004.2","27.4","22.8","76","2.4","120","4.1","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","998.6","1004.1","27.3","22.5","75","2.0","120","4.1","130","0.0","0.0","--","0.00","--","0","--","25.3","30.2","30.4","31.4","31.6","31.3","29.3"
"06","999.1","1004.6","27.3","22.3","74","1.9","130","3.9","120","0.0","0.0","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"07","999.6","1005.1","27.2","23.7","81","0.8","160","4.0","120","0.0","0.0","0.0","0.21","--","0","--","--","--","--","--","--","--","--"
"08","1000.1","1005.6","27.6","24.1","81","1.4","190","3.3","150","0.0","0.0","0.0","0.44","50.0","1","10.0","--","--","--","--","--","--","--"
"09","1000.5","1006.0","28.1","24.9","83","2.6","180","5.1","150","0.0","0.0","0.0","0.72","40.0","2","10.0","25.5","29.9","30.2","31.0","31.3","31.3","29.3"
"10","1000.0","1005.4","30.0","27.2","85","1.8","180","5.4","160","0.0","0.0","0.6","2.01","--","5","--","--","--","--","--","--","--","--"
"11","999.5","1004.9","31.1","27.0","79","1.6","180","4.8","220","0.0","0.0","0.6","2.27","40.0","7","6.0","--","--","--","--","--","--","--"
"12","998.4","1003.8","31.4","26.0","73","2.1","230","5.0","210","0.0","0.0","1.0","3.09","--","10","--","--","--","--","--","--","--","--"
"13","998.0","1003.4","31.8","25.9","71","2.0","220","4.9","190","0.0","0.0","0.9","2.90","--","10","--","--","--","--","--","--","--","--"
"14","997.5","1002.9","33.0","25.8","66","1.9","220","5.3","250","0.0","0.0","0.8","2.80","40.0","9","5.0","28.1","31.8","32.4","31.4","31.2","31.2","29.3"
"15","996.9","1002.3","33.0","25.8","66","1.6","220","5.2","260","0.0","0.0","1.0","2.89","--","8","--","--","--","--","--","--","--","--"
"16","997.0","1002.4","33.1","25.7","65","2.3","230","6.1","200","0.0","0.0","0.7","1.93","--","4","--","--","--","--","--","--","--","--"
"17","997.0","1002.4","33.0","24.8","62","2.3","230","5.3","200","0.0","0.0","0.9","1.41","60.0","2","3.0","--","--","--","--","--","--","--"
"18","997.8","1003.2","31.5","23.9","64","2.1","230","6.0","240","0.0","0.0","1.0","0.58","--","0","--","--","--","--","--","--","--","--"
"19","998.4","1003.8","30.4","24.8","72","1.3","200","4.0","190","0.0","0.0","0.2","0.05","--","0","--","--","--","--","--","--","--","--"
"20","999.1","1004.5","29.7","25.0","76","1.2","200","3.4","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","999.6","1005.0","29.3","26.1","83","1.1","200","2.8","200","0.0","0.0","--","0.00","--","0","--","24.3","32.0","32.1","32.3","31.8","31.2","29.3"
"22","1000.0","1005.4","28.9","26.1","85","0.4","110","2.3","210","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1000.1","1005.5","29.0","25.6","82","1.6","180","3.2","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","999.5","1004.9","28.7","25.3","82","1.1","140","3.4","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
